Logradouro,Endereco,Numero,Complemento,Bairro,Cidade,Estado,Pais,Cep,Latitude,Longitude
AV,NAZARE 1500,927,,,SAO PAULO,,,04262-200,-23.597202,-46.609805
AVENIDA,BRASIL 4149,930,,,MARINGA,,,87013-000,-23.420915,-51.942627
RUA,ELESBAO LINHARES 300,934,,,VITORIA,,,29055-340,-20.299336,-40.297814
RUA,CARLOS MARTINS 1160,942,,,VITORIA,,,29090-060,-20.25642,-40.269813
EST,DOS ALPES  333 PARTE,955,,,BARUERI,,,06423-080,-23.534018,-46.860495
ROD,PRESIDENTE DUTRA 25600  KM 188,956,,,NOVA IGUACU,,,26276-000,-22.743563,-43.513432
RUA,HENRY FORD 643 PARTE,960,,,OSASCO,,,06210-905,-23.52642,-46.76393
ESTRADA,DA LAMA PRETA 321,961,,,RIO DE JANEIRO,,,23575-450,-22.880793,-43.664887
RODOVIA,BR-497 0 KM 1 480 A,963,,,UBERLANDIA,,,38414-583,-18.954249,-48.358365
RODOVIA,"ANHANGUERA 0 KM 37,5",964,,,CAJAMAR,,,07760-000,-23.012359,-47.022458
RUA,12 DE OUTUBRO 92,29,,,SAO PAULO,,,05073-000,-23.519013,-46.70368
AV,GOVERNADOR AMARAL PEIXOTO 277,31,,,NOVA IGUACU,,,26210-060,-22.758137,-43.452494
AVENIDA,MARGINAL 200 LOJA ANC 1,1002,,,BOTUCATU,,,18606-294,-22.915201,-48.462521
RUA,VIGARIO SILVA 37 45,1024,,,UBERABA,,,38010-130,-19.7499,-47.935643
RUA,LUCIANO DAS NEVES 2418 LUC 1008,1032,,,VILA VELHA,,,29100-200,-20.353328,-40.295832
AVENIDA,DAS AMERICAS 15500 LUC 177,1033,,,RIO DE JANEIRO,,,22790-702,-23.012835,-43.462132
"BR-386,",KM 346 2839 LUC 503,1043,,,LAJEADO,,,95900-000,-29.449712,-51.96945
RUA,GERALDO MAGELA BARBOSA 186,1044,,,VILHENA,,,76980-000,-12.739685,-60.138617
ESTRADA,CAMPINAS PIRAJA 0,1045,,,SALVADOR,,,41270-000,-12.916997,-38.465989
AVENIDA,SAO PAULO 2575 LUC 1062,1046,,,TEIXEIRA DE FREITAS,,,45990-678,-17.556851,-39.725591
AVENIDA,JUIZ MARCO TULIO ISAAC 1119 LOJA A-02,1050,,,BETIM,,,32604-245,-19.958331,-44.188026
AVENIDA,PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEIRA 5000 LOJA 1136,1052,,,SAO JOSE DO RIO PRETO,,,15093-270,-20.857716,-49.412476
PRACA,DAS NACOES UNIDAS 590,1058,,,ITAMARAJU,,,45836-000,-17.038457,-39.539214
RUA,BARAO DO RIO BRANCO 961,1063,,,CRATEUS,,,63700-000,-5.177296,-40.66779
AVENIDA,PREFEITO JOAO DE SOUSA LIMA 531 LT 4 QD 80,1064,,,ARAGUAINA,,,77807-160,-7.198478,-48.202737
RUA,POCOS DE CALDAS 69,1069,,,IPATINGA,,,35160-033,-19.477124,-42.52473
AVENIDA,BERNARDO SAYAO 534 LTS 7 E 13,1070,,,PARAISO DO TOCANTINS,,,77600-000,-10.177223,-48.883094
AVENIDA,JAIME BRASIL 21,1089,,,BOA VISTA,,,69301-350,2.816655,-60.6678
RUA,DR MANOEL OITICICA 296,1090,,,RIO LARGO,,,57100-000,-9.4781591,-35.8397378
PRACA,GETULIO VARGAS 286,1092,,,ALFENAS,,,37130-000,-21.428434,-45.94726
AVENIDA,BARAO DE RIO BRANCO 375,1093,,,SANTAREM,,,68005-392,-2.420807,-54.714534
AVENIDA,BARAO DO RIO BRANCO 39,1094,,,CONCEICAO DO COITE,,,48730-000,-11.563295,-39.282831
RUA,GIRUA S/N LT 07 e 12,1095,,,LUCAS DO RIO VERDE,,,78455-000,-13.072541,-55.911999
RUA,BELO HORIZONTE 1031,1098,,,CAMBE,,,86181-020,-23.276975,-51.279898
RUA,SAO JOSE 355,1100,,,GUAIBA,,,92500-000,-30.108552,-51.316343
RUA,J.B. DA FONSECA 0,1103,,,CRUZ DAS ALMAS,,,44380-000,-12.672099,-39.102193
AVENIDA,DR STAVEAUX 176 C 1/2/3/4F,1105,,,SAO ROQUE,,,18130-500,-23.529644,-47.133918
AVENIDA,DENISE CRISTINA ROCHA 807 LJ ANC 4,1106,,,RIBEIRAO DAS NEVES,,,33900-375,-19.805632,-44.029151
RUA,ONZE DE AGOSTO 340,1110,,,TATUI,,,18270-001,-23.348053,-47.848476
RODOVIA,BR 262 6555 KM 05,1112,,,CARIACICA,,,29145-910,-20.342613,-40.400548
AVENIDA,FERNANDO GUILHON 0 QD C LT C,1113,,,SANTAREM,,,68038-305,-2.508096,-54.959118
